ordinal,date,browser,browserVersion,browserSize,operatingSystem,operatingSystemVersion,isMobile,mobileDeviceBranding,mobileDeviceModel,mobileInputSelector,mobileDeviceInfo,mobileDeviceMarketingName,flashVersion,language,screenColors,screenResolution,deviceCategory,fullVisitorId,continent,subContinent,country,region,metro,city,cityId,networkDomain,latitude,longitude,networkLocation
0,20180420,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,3371080362011953554,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View,,(not set),,,not available in demo dataset
1,20180328,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,1273503392667734337,Americas,Northern America,Canada,State of Sao Paulo,(not set),Sao Paulo,,ebox.net,,,not available in demo dataset
2,20171110,Samsung Internet,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,3735376896555544091,Americas,Northern America,United States,New York,New York NY,New York,,(not set),,,not available in demo dataset
3,20171117,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,1565779640131908232,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Sunnyvale,,(not set),,,not available in demo dataset
4,20171010,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,8847819324810541675,Europe,Northern Europe,United Kingdom,not available in demo dataset,not available in demo dataset,not available in demo dataset,,virginm.net,,,not available in demo dataset
5,20180218,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,3956447898709229463,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,comcastbusiness.net,,,not available in demo dataset
6,20180426,Safari,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,459149572333630628,Americas,Northern America,United States,New York,New York NY,New York,,above.net,,,not available in demo dataset
7,20171111,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,706869823712245000,Asia,Southern Asia,India,Delhi,(not set),New Delhi,,tripleplay.in,,,not available in demo dataset
8,20171101,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,696779392623666367,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Sunnyvale,,(not set),,,not available in demo dataset
9,20171008,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,1509892079512316137,Americas,Northern America,United States,Tennessee,Nashville TN,Nashville,,(not set),,,not available in demo dataset
10,20180419,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,8356722250118670398,Americas,Northern America,United States,Texas,Dallas-Ft. Worth TX,Dallas,,dns-tx.com,,,not available in demo dataset
11,20171029,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,7212330379873693225,Africa,Eastern Africa,Kenya,not available in demo dataset,not available in demo dataset,not available in demo dataset,,wananchi.com,,,not available in demo dataset
12,20171116,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,2877269737756670500,Asia,Southern Asia,India,Maharashtra,(not set),Mumbai,,(not set),,,not available in demo dataset
13,20180315,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,908779986968724081,Europe,Northern Europe,Sweden,Vastra Gotaland County,(not set),Gothenburg,,dgcsystems.net,,,not available in demo dataset
14,20171127,Chrome,not available in demo dataset,not available in demo dataset,Linux,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,9706618318327093333,Americas,Northern America,United States,Michigan,Detroit MI,Ann Arbor,,(not set),,,not available in demo dataset
15,20180303,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,5530251277597831551,Asia,Western Asia,Israel,not available in demo dataset,not available in demo dataset,not available in demo dataset,,(not set),,,not available in demo dataset
16,20180329,Chrome,not available in demo dataset,not available in demo dataset,Linux,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,5488220081156998612,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View,,(not set),,,not available in demo dataset
17,20170823,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,4463362730946380817,Europe,Southern Europe,Albania,(not set),(not set),(not set),,unknown.unknown,,,not available in demo dataset
18,20171128,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,3662395901753460261,Europe,Southern Europe,Spain,Madrid,(not set),Madrid,,cvc-cervantes.es,,,not available in demo dataset
19,20180311,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,tablet,4908417881309107622,Europe,Southern Europe,Italy,not available in demo dataset,not available in demo dataset,not available in demo dataset,,telecomitalia.it,,,not available in demo dataset
20,20171030,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,9800466987240485302,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Sunnyvale,,(not set),,,not available in demo dataset
