country,visitor_info
(not set),"[{7979881169706717259, 20180407, Android Webview}, {294314693764960238, 20180406, Chrome}, {4877400461324229675, 20180330, Chrome}, {1112044339891999419, 20180304, Firefox}, {161362356697548817, 20180117, Chrome}]"
Afghanistan,"[{8601695896060286350, 20171007, Opera Mini}]"
Albania,"[{419463020086082484, 20171117, Chrome}, {6161175841328229574, 20170905, Chrome}, {4463362730946380817, 20170823, Chrome}]"
Algeria,"[{6449298902659351795, 20180312, Safari}, {284033333197705068, 20171217, Chrome}, {2695308450179525996, 20171126, Chrome}, {6608189206350284677, 20171120, Chrome}]"
Argentina,"[{23938784514468094, 20180428, Chrome}, {7764435574213944155, 20180425, Chrome}, {1472356428799977001, 20180418, Chrome}, {9586037193053152974, 20180418, Chrome}, {9776951351928555340, 20180410, Firefox}]"
Armenia,"[{7853753634952385369, 20170804, Chrome}]"
Australia,"[{5312457673017425684, 20180413, Chrome}, {164118722785103493, 20180408, Chrome}, {732314404227811243, 20180325, Chrome}, {7196424034808123210, 20180321, Chrome}, {4611701191809975564, 20180321, Chrome}]"
Austria,"[{6885620922296260770, 20180424, Chrome}, {2059482277589840173, 20180319, Safari}, {0571442015088640177, 20180313, Chrome}, {4982045097498971563, 20180211, Chrome}, {900669599520385755, 20180204, Chrome}]"
Bahrain,"[{954630385851572348, 20180428, Chrome}, {8910305468230252344, 20171228, Chrome}]"
Bangladesh,"[{1208888957920943490, 20180427, Opera Mini}, {712382923312732943, 20180423, Opera Mini}, {6931580334800156716, 20180419, Opera Mini}, {2146065021203222271, 20180419, Chrome}, {2960419631492851384, 20180415, Firefox}]"
Belarus,"[{3063857729690262476, 20180401, Chrome}, {6352951574337959655, 20180207, Chrome}, {1611822486857115927, 20180110, Chrome}, {2899932145132626561, 20171006, Chrome}]"
Belgium,"[{2074987679893293633, 20180427, Chrome}, {5791951596215193660, 20180401, Safari}, {954193976405123980, 20180315, Chrome}, {8511391966557065127, 20180313, Chrome}, {9198138306383131373, 20180313, Safari}]"
Benin,"[{4179119030533940649, 20180218, Opera Mini}, {2410860015659598696, 20171213, Chrome}]"
Bolivia,"[{3802523740016678049, 20171212, Firefox}, {6177816295753935332, 20171026, Chrome}]"
Bosnia & Herzegovina,"[{0766372164350609105, 20180309, Chrome}, {6842673254798722208, 20180306, Chrome}, {9348465822110498330, 20180128, Chrome}, {2929237180873662727, 20180122, Chrome}, {8174797146685021431, 20171213, Firefox}]"
Brazil,"[{7293461304122696380, 20180426, Chrome}, {8149221532729471935, 20180425, Firefox}, {742377724395793678, 20180424, Chrome}, {4535539246211622069, 20180424, Chrome}, {9413675171959707938, 20180419, Chrome}]"
Bulgaria,"[{9147481110347981312, 20180401, Chrome}, {1999695309654274921, 20180103, Chrome}, {6930185268300639141, 20171225, Chrome}, {1097107220368394821, 20171103, Firefox}, {7649532491047537745, 20171016, Chrome}]"
Cambodia,"[{3460802070852352847, 20180312, Opera Mini}, {8201630742242715300, 20171213, Chrome}, {3094047954483603559, 20171114, Samsung Internet}]"
Cameroon,"[{3644785067400402732, 20171104, Opera Mini}, {8573422261376120522, 20170809, Chrome}]"
Canada,"[{6875605806866573716, 20180421, Chrome}, {5433272397089715776, 20180419, Safari}, {2366378399315892216, 20180419, Safari}, {8417146350148991364, 20180418, Chrome}, {0143304344193165900, 20180418, Chrome}]"
Cape Verde,"[{2705439164919597987, 20180317, YaBrowser}]"
Caribbean Netherlands,"[{2326423717503168835, 20180108, Chrome}]"
Chile,"[{1001369787759770899, 20180226, Chrome}, {1693567922821625208, 20180124, Android Webview}, {3660284475991746463, 20171222, Safari}, {5428190851252701123, 20171112, Safari}, {5265092888430258014, 20170916, Chrome}]"
China,"[{648971045249616473, 20180418, Chrome}, {694818674485593204, 20180410, Chrome}, {5828019250220081657, 20180224, Chrome}, {4266649145953150998, 20180223, Chrome}, {7627642196323421808, 20171213, Android Webview}]"
Colombia,"[{9269362011475007239, 20180427, Chrome}, {361670701106362182, 20180327, Chrome}, {5731005040678744612, 20180313, Chrome}, {1611415423910949544, 20180309, Chrome}, {7458903914366748916, 20180225, Edge}]"
Congo - Kinshasa,"[{6190889660513668023, 20180407, Opera Mini}, {4741692998427927278, 20180407, Opera Mini}]"
Costa Rica,"[{7139878528789959252, 20180106, Chrome}, {6349240780616557333, 20170807, Chrome}]"
Croatia,"[{6703524554322055020, 20180416, Firefox}, {3138898516936696566, 20180405, Chrome}, {8081253605031776230, 20180327, Chrome}, {1356258838355951636, 20171108, Chrome}, {3746885258245554081, 20171028, Chrome}]"
Cyprus,"[{2351700876847135056, 20171029, Chrome}]"
Czechia,"[{530876342475448268, 20180425, Chrome}, {5313528576430685179, 20180423, Chrome}, {7997675125599108755, 20180414, Chrome}, {1186029232341782365, 20180413, Chrome}, {5420205528205065697, 20180318, Chrome}]"
Côte d’Ivoire,"[{7818337618902529369, 20171228, Opera Mini}, {1287859942831997054, 20171211, Opera Mini}]"
